iter	TotalF1:average=Weighted	MultiClass
0	0.5822649462	1.537924418
1	0.5648233574	1.47980926
2	0.5866174382	1.428843597
3	0.5894307054	1.385529479
4	0.5885071242	1.347264427
5	0.5895751632	1.315367147
6	0.5948964242	1.285201943
7	0.5924510251	1.258385404
8	0.5923852041	1.233779079
9	0.5921674868	1.21180396
10	0.5918573572	1.191994281
11	0.5918893134	1.173565185
12	0.5928961256	1.15706879
13	0.5918288992	1.14201257
14	0.5917802011	1.128580561
15	0.5916449558	1.114873156
16	0.5922082968	1.103232017
17	0.5925405807	1.092539495
18	0.592577657	1.082421096
19	0.5926178395	1.072787708
20	0.5925664296	1.064399934
21	0.5926761942	1.055725839
22	0.5926938393	1.04789488
23	0.5927335346	1.040396641
24	0.5936546315	1.033549894
25	0.5935616041	1.027536885
26	0.5936841081	1.021498237
27	0.5947456759	1.01549559
28	0.5947830594	1.009800878
29	0.5951731572	1.004137111
30	0.5952101433	0.9998983231
31	0.5953425904	0.9956375859
32	0.5951818813	0.9918318993
33	0.5947433328	0.987831638
34	0.5951692168	0.9838822229
35	0.5953341059	0.9799210862
36	0.5959127253	0.9763212298
37	0.5960867099	0.9731746819
38	0.5962013941	0.9699530117
39	0.5961987976	0.9674008843
40	0.5962326739	0.9649320176
41	0.596582748	0.9621623341
42	0.5966486025	0.959937151
43	0.596969128	0.9576060317
44	0.5963836555	0.9557860138
45	0.5966726857	0.9536395706
46	0.5966955509	0.9519238938
47	0.5973234364	0.9496890205
48	0.5973563865	0.9481669984
49	0.5974656891	0.9465043852
50	0.5975088454	0.9451672661
51	0.5978792577	0.9432338865
52	0.5978666938	0.9417225471
53	0.5986129474	0.9403128172
54	0.5987583094	0.9387795437
55	0.5988856049	0.937477627
56	0.598826889	0.9362187771
57	0.5990447271	0.9349468124
58	0.5992065274	0.9338885839
59	0.5992711474	0.9324132286
60	0.5994288334	0.9314886768
61	0.5995093769	0.9305045929
62	0.5995976655	0.9295780779
63	0.599839324	0.928812116
64	0.5999989784	0.9278528732
65	0.599935737	0.9272851001
66	0.6004450213	0.9264690914
67	0.6003227674	0.9259173346
68	0.6001386603	0.9252501852
69	0.6003210011	0.9246906898
70	0.6003712597	0.9242758214
71	0.6003733057	0.9236991067
72	0.6008911831	0.9229869401
73	0.6009860344	0.9223234485
74	0.6011581889	0.9218789218
75	0.6018345322	0.9210627472
76	0.6018282437	0.9206628239
77	0.6020313054	0.9199696543
78	0.6019705968	0.9196708258
79	0.6022268177	0.9191306715
80	0.6023426483	0.9187573425
81	0.6026643886	0.918190126
82	0.6031963581	0.9172759663
83	0.6033542761	0.9169528892
84	0.6034896327	0.9166159526
85	0.6035548955	0.9162539577
86	0.6036649721	0.9158152221
87	0.6039130525	0.9154183175
88	0.6039310509	0.9151405402
89	0.6040998955	0.9147305091
90	0.6042059251	0.91420281
91	0.6042725067	0.9138160694
92	0.6044283198	0.913576795
93	0.6045781123	0.9133764993
94	0.6044353241	0.9128679762
95	0.6045084313	0.9127171181
96	0.6046570072	0.9122718374
97	0.6047823609	0.9119712718
98	0.6049892763	0.9116670808
99	0.6053076897	0.9112220011
100	0.6052712944	0.9109417453
101	0.6054024017	0.9107320557
102	0.6053981743	0.9102089339
103	0.6053719102	0.9097594174
104	0.6053895409	0.9093444202
105	0.6052582037	0.9089323354
106	0.6054656356	0.9086160398
107	0.6054694684	0.9084056368
108	0.6058302777	0.9081680191
109	0.6056864502	0.9079294193
110	0.6060276317	0.9075009916
111	0.6061998794	0.9073496675
112	0.6062001559	0.9070627058
113	0.6062428941	0.9068794737
114	0.6062737864	0.906703309
115	0.6063320838	0.9064929889
116	0.6064898295	0.9061597214
117	0.6066047616	0.9059658706
118	0.6068228304	0.9056302675
119	0.6070409912	0.9052716134
120	0.6071324809	0.905145711
121	0.6073527602	0.9050231354
122	0.6073378478	0.9048736155
123	0.6074779588	0.9047395173
124	0.6075111638	0.9046229584
125	0.6076634166	0.9042036259
126	0.6077413346	0.9039818827
127	0.6077462755	0.9038451832
128	0.6077617789	0.9036478881
129	0.6077996748	0.9035058114
130	0.6082872304	0.9033174883
131	0.6082632366	0.9031745143
132	0.6083188567	0.9030487448
133	0.6084162568	0.9028425662
134	0.6081728065	0.9027433481
135	0.6084565675	0.9025642924
136	0.6085429686	0.9024181702
137	0.6082183681	0.90214826
138	0.6085225099	0.9017301065
139	0.6088050676	0.9015393766
140	0.6089523774	0.9013503516
141	0.6089645661	0.9011819982
142	0.609007888	0.9010609139
143	0.6091455087	0.9008945941
144	0.609171023	0.9007615457
145	0.6089921054	0.9005761425
146	0.6091114383	0.9003465513
147	0.6089709486	0.9002440182
148	0.6092753676	0.9001033498
149	0.6097262167	0.8997912831
150	0.6098631822	0.8997116044
151	0.6098981759	0.8995754714
152	0.6099775569	0.8993225593
153	0.6102180107	0.8990838848
154	0.6103371835	0.8988872495
155	0.6106716645	0.8986903286
156	0.6106821523	0.8986170147
157	0.6109546464	0.898486637
158	0.6111258625	0.8983346363
159	0.6109932197	0.898122358
160	0.6109444381	0.8979979953
161	0.6109545381	0.8978555303
162	0.6109771296	0.8977835041
163	0.6112168851	0.8976711729
164	0.6112814176	0.8975312593
165	0.6113069606	0.8974332937
166	0.6114067573	0.8973490591
167	0.6115188128	0.8972076149
168	0.611557828	0.8970099537
169	0.6114536914	0.8968715443
170	0.6116281856	0.8967541729
171	0.6117132486	0.896623825
172	0.6119398076	0.8965461376
173	0.6120032774	0.8963838416
174	0.6122577507	0.8961600115
175	0.6123642066	0.8960346985
176	0.6124351823	0.8959687413
177	0.6124592295	0.8958513077
178	0.6124570431	0.895748867
179	0.612434395	0.8955646508
180	0.6124719215	0.895415205
181	0.6123918638	0.8952466896
182	0.6127051826	0.8949706854
183	0.6127316158	0.8948511163
184	0.6128355494	0.8946998248
185	0.6129693847	0.8943512626
186	0.6129397853	0.8941079599
187	0.6131235338	0.8939505416
188	0.6131549397	0.8936983183
189	0.6132013539	0.893640395
190	0.6133075417	0.8935223975
191	0.6132962789	0.8933920809
192	0.6134773876	0.893154292
193	0.6134224109	0.8928754621
194	0.6135223172	0.8927622919
195	0.6137127526	0.8924317548
196	0.6139242086	0.8922690713
197	0.6138531738	0.8921505085
198	0.6139511948	0.8920617285
199	0.6139706291	0.8919199123
200	0.6140694816	0.8917141164
201	0.6140378988	0.8915357907
202	0.6140728406	0.8913624467
203	0.6141271668	0.8912726619
204	0.6140812866	0.8911401645
205	0.6141110926	0.8910504063
206	0.6143684756	0.8908258646
207	0.6142770517	0.8907479125
208	0.6142920413	0.8906474868
209	0.6142796214	0.8905116061
210	0.6145231668	0.890122317
211	0.6147252006	0.8898062384
212	0.6147514554	0.8896970971
213	0.6147667242	0.8895424934
214	0.6148881096	0.8894059296
215	0.6148694271	0.8891720414
216	0.6148846911	0.8889117949
217	0.614978213	0.8887867047
218	0.6152787817	0.8885412181
219	0.6152731133	0.8883207922
220	0.6152614442	0.8881082975
221	0.6154768176	0.8879037332
222	0.6157782219	0.8877388051
223	0.615972932	0.8876034324
224	0.6157295119	0.8873226718
225	0.6158013252	0.8871901122
226	0.6161799056	0.88689869
227	0.6163043959	0.8867575029
228	0.6163985849	0.8864344752
229	0.6164693332	0.8862875223
230	0.6167538861	0.8859464751
231	0.6167615991	0.8857457433
232	0.6166578054	0.8854599273
233	0.6170226197	0.8851766723
234	0.6170785194	0.8850109924
235	0.6171717945	0.884730473
236	0.6170794692	0.8844580823
237	0.6172859893	0.8842185636
238	0.6172320297	0.8841142593
239	0.6173695869	0.8836854783
240	0.6174407427	0.8834882332
241	0.617723212	0.8832327569
242	0.6179964421	0.8828429053
243	0.6179803635	0.8826402754
244	0.6182070052	0.8823754767
245	0.618234018	0.8821324616
246	0.6185320256	0.8818729497
247	0.6186935565	0.8815600231
248	0.6188915673	0.8813184884
249	0.6193034556	0.8810420856
250	0.6193777269	0.880697372
251	0.6194736517	0.8803973477
252	0.6196294455	0.880096063
253	0.6199532316	0.8798793966
254	0.6202388338	0.8796068788
255	0.6202244729	0.879382316
256	0.6200408169	0.8791485645
257	0.62008138	0.8787336292
258	0.6203680198	0.8783726374
259	0.6202918262	0.8781736666
260	0.620520734	0.8779886779
261	0.6205978901	0.8777392711
262	0.6205038352	0.8774315756
263	0.6208292636	0.8771127818
264	0.620767064	0.8768730409
265	0.620941756	0.8767273638
266	0.6210385358	0.8765718016
