iter	Passed	Remaining
0	1900	505548
1	4101	543389
2	6740	593199
3	8967	589595
4	11177	585678
5	13943	606549
6	16355	607498
7	18441	597040
8	20421	585415
9	22382	575233
10	24479	569697
11	26554	564292
12	28814	562991
13	31146	562864
14	33422	561496
15	35586	558257
16	37858	556747
17	40154	555476
18	42331	552541
19	44670	551676
20	47007	550658
21	49307	549111
22	51729	548779
23	53976	546516
24	56324	545217
25	58645	543595
26	60800	540449
27	62949	537316
28	65002	533472
29	67216	531007
30	69412	528433
31	71424	524525
32	73450	520829
33	75502	517417
34	77483	513607
35	79497	510106
36	81498	506609
37	83531	503384
38	85475	499700
39	87395	495970
40	89369	492621
41	91276	488979
42	93212	485569
43	95350	483254
44	97320	480113
45	99287	477012
46	101318	474255
47	103276	471198
48	105327	468600
49	107398	466110
50	109428	463462
51	111519	461088
52	113663	458942
53	115625	456078
54	117586	453242
55	119559	450482
56	121639	448145
57	123676	445662
58	125977	444123
59	128220	442359
60	130370	440268
61	132555	438289
62	134655	436025
63	136726	433680
64	138724	431114
65	140717	428548
66	142662	425858
67	144576	423099
68	146490	420363
69	148517	417970
70	150657	415898
71	152850	413970
72	155032	412002
73	156947	409337
74	159015	407079
75	161067	404786
76	163090	402431
77	165107	400068
78	167080	397608
79	169070	395203
80	170913	392467
81	172991	390286
82	175468	388990
83	177605	386925
84	179702	384775
85	181783	382591
86	183894	380470
87	186168	378682
88	188386	376772
89	190551	374751
90	192688	372672
91	194825	370592
92	196864	368327
93	198851	365971
94	200890	363717
95	202815	361264
96	204758	358855
97	206738	356518
98	208755	354252
99	210910	352221
100	212999	350078
101	215206	348127
102	217502	346314
103	219539	344085
104	221559	341835
105	223712	339789
106	225621	337377
107	227540	334990
108	229495	332663
109	231447	330338
110	233466	328114
111	235471	325876
112	237419	323563
113	239350	321234
114	241260	318883
115	243409	316852
116	245473	314709
117	247422	312422
118	249315	310072
119	251339	307891
120	253366	305715
121	255571	303752
122	257826	301845
123	259970	299804
124	262176	297832
125	264330	295798
126	266381	293649
127	268470	291542
128	270526	289400
129	272617	287296
130	274493	284970
131	276508	282792
132	278400	280493
133	280414	278321
134	282599	276319
135	284846	274374
136	286871	272213
137	288979	270132
138	291127	268088
139	293497	266243
140	295555	264113
141	297709	262068
142	300005	260144
143	302298	258213
144	304360	256082
145	306508	254023
146	308747	252038
147	310959	250028
148	313311	248125
149	315527	246111
150	317597	243982
151	319929	242051
152	322080	239981
153	324379	238018
154	326619	236008
155	328837	233980
156	331128	232000
157	333113	229805
158	335108	227620
159	337506	225707
160	339769	223699
161	342013	221675
162	344032	219505
163	346100	217368
164	348071	215171
165	350132	213032
166	352376	211003
167	354385	208834
168	356419	206681
169	358607	204617
170	360621	202454
171	362716	200337
172	364894	198266
173	366911	196107
174	368870	193920
175	370818	191729
176	372809	189563
177	375019	187509
178	377092	185386
179	379026	183196
180	381025	181039
181	383132	178935
182	385277	176848
183	387372	174738
184	389335	172570
185	391427	170460
186	393409	168303
187	395474	166183
188	397462	164032
189	399474	161892
190	401799	159878
191	403870	157762
192	406086	155701
193	408238	153615
194	410279	151487
195	412320	149361
196	414560	147305
197	416518	145150
198	418652	143057
199	420718	140940
200	422595	138762
201	424460	136583
202	426292	134397
203	428166	132227
204	429949	130033
205	431738	127844
206	433570	125672
207	435411	123506
208	437391	121381
209	439403	119266
210	441316	117126
211	443259	114996
212	445057	112831
213	446863	110671
214	448708	108524
215	450471	106361
216	452254	104206
217	454120	102072
218	456238	99997
219	458353	97921
220	460604	95872
221	462795	93809
222	464856	91720
223	466848	89618
224	468848	87518
225	470873	85423
226	472970	83342
227	474900	81232
228	476769	79114
229	478894	77039
230	480886	74943
231	482771	72831
232	484742	70734
233	486925	68669
234	488972	66583
235	490957	64490
236	492985	62403
237	495123	60330
238	497194	58248
239	499176	56157
240	501203	54071
241	503415	52005
242	505701	49945
243	507848	47870
244	509841	45781
245	511734	43684
246	513885	41610
247	515888	39523
248	517755	37428
249	519647	35336
250	521930	33270
251	523983	31189
252	526204	29118
253	528389	27043
254	530432	24961
255	532545	22882
256	534687	20804
257	537103	18736
258	539269	16656
259	541346	14574
260	543407	12492
261	545592	10412
262	547848	8332
263	549969	6249
264	551979	4165
265	554289	2083
266	557022	0
